Identifier,Female,Age,Gradespassed15,ReadUrdu16,Financialconditionoverlastyear22,Collectivehouseholdincome112,Ownahouse122,Ownaland123,ClientofnonIslamicinstitution32,RecitingQuran33,Attendingreligiousgatherings34,Consultingreligiouscholar310,ListTreatment,Listexperiment
ID0516,1,39,2,1,2,3,0,1,0,3,4,2,1,"2"
ID0517,1,39,10,2,5,3,1,1,0,2,4,3,0,"2"
ID0518,1,47,6,2,4,2,1,1,1,3,1,0,1,"2"
ID0519,1,39,0,0,5,3,1,0,0,2,4,3,0,"2"
ID0521,1,47,0,0,4,2,0,1,1,3,4,0,0,"2"
ID0523,1,55,0,0,2,2,1,0,0,1,3,2,0,"2"
ID0524,1,47,4,1,4,2,0,1,0,3,3,3,1,"2"
ID0526,1,57,4,1,3,2,0,1,1,4,1,0,1,"3"
ID0527,1,57,0,0,3,2,1,1,1,4,2,2,0,"2"
ID0529,1,57,8,2,3,2,0,1,0,1,2,1,1,"2"
ID0530,1,55,10,2,1,2,1,1,0,3,2,3,0,"2"
ID0531,1,59,8,2,1,2,1,0,0,3,1,2,0,"2"
ID0532,1,55,3,1,3,3,0,1,0,2,3,1,1,"3"
ID0533,1,58,0,0,4,2,1,0,0,2,2,3,0,"2"
ID0534,1,55,12,2,2,3,0,1,0,1,1,2,1,"2"
ID0535,1,55,0,0,2,4,0,1,1,3,2,2,0,"2"
ID0536,1,55,4,1,2,3,1,0,1,3,3,2,1,"2"
ID0537,1,54,1,0,3,3,1,0,0,0,2,2,1,"2"
ID0538,1,54,2,1,3,3,1,0,0,3,2,3,1,"2"
ID0539,1,54,0,0,2,3,0,1,0,1,3,3,0,"2"
ID0540,1,54,0,0,3,3,0,1,0,2,3,2,0,"1"
ID0541,1,57,0,0,2,4,0,1,0,4,1,2,0,"2"
